disorder;disorder_OMIM;disorder_cat;symptom;symptom_cat;gene_symb;gene_OMIM;gene_cytoloc
retinitis pigmentosa;180104;retinal degeneration;macular edema;Abnormality of the macula;RP9, PAP1;607331;7p14.3
retinitis pigmentosa;180105;retinal degeneration;bony spicule pigmentary retinopathy;Pigmentary retinopathy;IMPDH1, RP10, LCA11;146690;7q32.1
retinitis pigmentosa;300029;retinal degeneration;x-linked inheritance;Gonosomal inheritance;RPGR, RP3, CRD, RP15, COD1, CORDX1;312610;Xp11.4
retinitis pigmentosa;300424;retinal degeneration;posterior subcapsular cataract;Subcapsular cataract;OFD1, CXorf5, SGBS2, JBTS10, RP23;300170;Xp22.2
retinitis pigmentosa;312600;retinal degeneration;choroidoretinal degeneration;Chorioretinal abnormality;RP2;300757;Xp11.23
retinitis pigmentosa;600059;retinal degeneration;hypopigmented fundi;Abnormality of the fundus;PRPF8, PRPC8, RP13;607300;17p13.3
retinitis pigmentosa;600105;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;CRB1, RP12, LCA8;604210;1q31.3
retinitis pigmentosa;600132;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;TULP1, RP14, LCA15;602280;6p21.31
retinitis pigmentosa;600138;retinal degeneration;macular edema;Abnormality of the macula;PRPF31, PRP31, RP11;606419;19q13.42
retinitis pigmentosa;600852;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;CA4, RP17;114760;17q23.1
retinitis pigmentosa;601414;retinal degeneration;retinal arteriolar constriction;Abnormality of retinal arteries;HPRP3, RP18;607301;1q21.2-q21.3
retinitis pigmentosa;601718;retinal degeneration;absent retinal pigment epithelium;Abnormality of the retinal pigment epithelium;ABCA4, ABCR, STGD1, FFM, RP19, CORD3, ARMD2;601691;1p22.1
retinitis pigmentosa;602772;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;EYS, RP25;612424;6q12
retinitis pigmentosa;606068;retinal degeneration;bony spicule pigmentary retinopathy;Pigmentary retinopathy;FAM161A, RP28;613596;2p15
retinitis pigmentosa;607921;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;FSCN2, RFSN, RP30;607643;17q25.3
retinitis pigmentosa;608133;retinal degeneration;peripheral visual field loss;Visual field defect;PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1;179605;6p21.1
retinitis pigmentosa;608133;retinal degeneration;peripheral visual field loss;Visual field defect;ROM1, ROSP1, RP7;180721;11q12.3
retinitis pigmentosa;608380;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;CERKL, RP26;608381;2q31.3
retinitis pigmentosa;609923;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;TOPORS, P53BP3, LUN, RP31;609507;9p21.1
retinitis pigmentosa;610282;retinal degeneration;abnormality of skin pigmentation;Abnormality of skin morphology;SEMA4A, SEMB, RP35, CORD10;607292;1q22
retinitis pigmentosa;610359;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;SNRNP200, ASCC3L1, KIAA0788, RP33;601664;2q11.2
retinitis pigmentosa;610599;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;PRCD, RP36;610598;17q25.1
retinitis pigmentosa;611131;retinal degeneration;cystoid macular degeneration;Macular degeneration;NR2E3, PNR, ESCS, RP37;604485;15q23
retinitis pigmentosa;612095;retinal degeneration;night blindness;Abnormality of vision;PROM1, PROML1, AC133, RP41, CORD12, CD133, MCDR2, STGD4;604365;4p15.32
retinitis pigmentosa;612572;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;IDH3B, RP46;604526;20p13
retinitis pigmentosa;612712;retinal degeneration;retinal dystrophy;Abnormality of the retina;RDH12, LCA13;608830;14q24.1
retinitis pigmentosa;612943;retinal degeneration;pallor;Abnormality of skin morphology;KLHL7, RP42;611119;7p15.3
retinitis pigmentosa;613194;retinal degeneration;retinal flecks;Abnormality of the retina;BEST1, VMD2, ARB, RP50;607854;11q12.3
retinitis pigmentosa;613428;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;C2orf71;613425;2p23.2
retinitis pigmentosa;613464;retinal degeneration;abnormal rod and cone electroretinograms;Abnormal electroretinogram;TTC8, BBS8, RP51;608132;14q31.3
retinitis pigmentosa;613575;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;ARL6, BBS3, RP55;608845;3q11.2
retinitis pigmentosa;613581;retinal degeneration;posterior subcapsular cataract;Subcapsular cataract;IMPG2, IPM200, RP56, VMD5;607056;3q12.3
retinitis pigmentosa;613582;retinal degeneration;cystoid macular edema;Macular edema;PDE6G, PDEG, RP57;180073;17q25.3
retinitis pigmentosa;613617;retinal degeneration;abnormal rod and cone electroretinograms;Abnormal electroretinogram;ZNF513, RP58;613598;2p23.3
retinitis pigmentosa;613731;retinal degeneration;visual field defect;Abnormality of vision;RHO, RP4, OPN2, CSNBAD1;180380;3q22.1
retinitis pigmentosa;613750;retinal degeneration;macular edema;Abnormality of the macula;NRL, D14S46E, RP27;162080;14q11.2
retinitis pigmentosa;613756;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;CNGA1, CNCG1, RP49;123825;4p12
retinitis pigmentosa;613758;retinal degeneration;pigmentary retinal degeneration;Abnormality of the retinal pigment epithelium;SAG, RP47;181031;2q37.1
retinitis pigmentosa;613767;retinal degeneration;peripheral visual field loss;Visual field defect;CNGB1, CNCG3L, CNCG2, RP45;600724;16q21
retinitis pigmentosa;613769;retinal degeneration;depigmented lesions of the retinal pigment epithelium;Hypopigmentation of the fundus;RGR, RP44;600342;10q23.1
retinitis pigmentosa;613794;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;RPE65, RP20, LCA2;180069;1p31.3-p31.2
retinitis pigmentosa;613801;retinal degeneration;abnormal rod and cone electroretinograms;Abnormal electroretinogram;PDE6B, PDEB, RP40, CSNBAD2;180072;4p16.3
retinitis pigmentosa;613810;retinal degeneration;peripheral visual field loss;Visual field defect;PDE6A, PDEA, RP43;180071;5q32
retinitis pigmentosa;613827;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;GUCA1B, GCAP2, GUCA2, RP48;602275;6p21.1
retinitis pigmentosa;613861;retinal degeneration;cystoid macular edema;Macular edema;DHDDS, HDS, RP59;608172;1p36.11
retinitis pigmentosa;613862;retinal degeneration;peripheral retinal atrophy;Retinal atrophy;MERTK, RP38;604705;2q13
retinitis pigmentosa;613983;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;PRPF6, PRP6, ANT1, TOM, C20orf14;613979;20q13.33
retinitis pigmentosa;614180;retinal degeneration;attenuation of retinal blood vessels;Abnormality of the retinal vasculature;CLRN1, USH3A, USH3, RP61;606397;3q25.1
retinitis pigmentosa;614181;retinal degeneration;night blindness;Abnormality of vision;MAK, RP62;154235;6p24.2
retinitis pigmentosa;615233;retinal degeneration;posterior subcapsular cataract;Subcapsular cataract;RBP3, RP66;180290;10q11.22
retinitis pigmentosa;615434;retinal degeneration;situs inversus totalis;Abnormal spatial orientation of the cardiac segments;ARL2BP, BART;615407;16q13
retinitis pigmentosa;615565;retinal degeneration;retinitis pigmentosa;Abnormal retinal pigmentation;NEK2, RP67;604043;1q32.3
retinitis pigmentosa;615725;retinal degeneration;visual field defect;Abnormality of vision;SLC7A14, KIAA1613, RP68;615720;3q26.2
retinitis pigmentosa;615780;retinal degeneration;peripheral retinal pigmentation abnormalities;Abnormal retinal pigmentation;KIZ, KIZUNA, C20orf19, RP69;615757;20p11.23
retinitis pigmentosa;615922;retinal degeneration;retinal degeneration;Abnormality of the retina;PRPF4, PRP4, HPRP4, RP70;607795;9q32
retinoblastoma;180200;retinal cell cancer;ewing's sarcoma;Sarcoma;RB1;614041;13q14.2
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;CD244, NAIL, NKR2B4, SLAMF4;605554;1q23.3
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;HLA-DRB1, SS1;142857;6p21.32
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;IL10, CSIF, GVHDS;124092;1q32.1
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;MHC2TA, C2TA;600005;16p13.13
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;NFKBIL1;601022;6p21.33
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;PADI4, PADI5, PAD;605347;1p36.13
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;PTPN22, PEP, PTPN8, LYP;600716;1p13.2
rheumatoid arthritis;180300;arthritis;abnormality of the immune system;Phenotypic abnormality;SLC22A4, OCTN1;604190;5q31.1
rhizomelic chondrodysplasia punctata;215100;chondrodysplasia punctata;flat face;Abnormal facial shape;PEX7, RCDP1, PBD9B;601757;6q23.3
rhizomelic chondrodysplasia punctata;222765;chondrodysplasia punctata;rhizomelia;Limb undergrowth;GNPAT, DHAPAT;602744;1q42.2
rhizomelic chondrodysplasia punctata;600121;chondrodysplasia punctata;epiphyseal stippling;Ectopic calcification;AGPS, ADHAPS;603051;2q31.2
rickets;264700;bone remodeling disease;fibular bowing;Abnormal morphology of bones of the lower limbs;CYP27B1, VDD1, PDDR;609506;12q14.1
rickets;277440;bone remodeling disease;fibular bowing;Abnormal morphology of bones of the lower limbs;VDR;601769;12q13.11
rickets;600081;bone remodeling disease;fibular bowing;Abnormal morphology of bones of the lower limbs;CYP2R1;608713;11p15.2
rippling muscle disease;606072;muscle tissue disease;exercise-induced muscle stiffness;Muscle stiffness;CAV3, LGMD1C, LQT9;601253;3p25.3
sarcoidosis;181000;hypersensitivity reaction type IV disease;cough;Functional respiratory abnormality;HLA-DRB1, SS1;142857;6p21.32
sarcoidosis;609464;hypersensitivity reaction type IV disease;non-caseating epithelioid cell granulomatosis;Granulomatosis;NOD2, CARD15, IBD1, CD, ACUG, PSORAS1;605956;16q12.1
scapuloperoneal myopathy;181430;muscular dystrophy;scapuloperoneal myopathy;Amyotrophy involving the shoulder musculature;MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD;160760;14q11.2
scapuloperoneal myopathy;300695;muscular dystrophy;arrhythmia;Abnormality of cardiovascular system physiology;FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B;300163;Xq26.3
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;AKT1, CWS6;164730;14q32.33
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;APOL2;607252;22q12.3
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;APOL4;607254;22q12.3
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;CHI3L1, GP39, YKL40, ASRT7;601525;1q32.1
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;COMT;116790;22q11.21
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DAO, DAMOX;124050;12q24.11
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DAOA, G72;607408;13q33.2
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DISC1, SCZD9;605210;1q42.2
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DISC2;606271;1q42.2
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DRD3, ETM1, FET1;126451;3q13.31
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;DTNBP1, HPS7;607145;6p22.3
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;HTR2A;182135;13q14.2
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;MTHFR;607093;1p36.22
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;RTN4R, NOGOR;605566;22q11.21
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD11;608078;10q22.3
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD12;608543;1p36.2
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD1;181510;5q23-q35
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD2;603342;11q14-q21
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD3;600511;6p23
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD5;603175;6q13-q26
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD6;603013;8p21
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD7;603176;13q32
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SCZD8;603206;18p
schizophrenia;181500;psychotic disorder;schizophrenia;Behavioral abnormality;SYN2;600755;3p25.2
schizophrenia;600850;psychotic disorder;schizophrenia;Behavioral abnormality;PRODH, PRODH2, SCZD4;606810;22q11.21
schizophrenia;613950;psychotic disorder;schizophrenia;Behavioral abnormality;SHANK3, PSAP2, PROSAP2, KIAA1650, DEL22q13.3, SCZD15;606230;22q13.33
schneckenbecken dysplasia;269250;osteochondrodysplasia;disproportionate short-limb short stature;Disproportionate short stature;SLC35D1, UGTREL7, KIAA0260;610804;1p31.3
sclerosteosis;269500;SOST-related sclerosing bone dysplasia;cognitive impairment;Abnormality of higher mental function;SOST, VBCH, CDD, SOST1;605740;17q21.31
sclerosteosis;614305;SOST-related sclerosing bone dysplasia;facial palsy;Abnormality of the seventh cranial nerve;LRP4, MEGF7, CLSS, SOST2;604270;11p11.2
sea-blue histiocyte syndrome;269600;non-langerhans-cell histiocytosis;mediastinal lymphadenopathy;Abnormality of the mediastinum;APOE, AD2, LPG, LDLCQ5;107741;19q13.32
seborrheic keratosis;182000;keratosis;verrucae;Papilloma;PIK3CA, CLOVE, MCAP, MCM, MCMTC, CWS5;171834;3q26.32
seminoma;273300;germ cell cancer;teratoma;Germ cell neoplasia;BCL10, IMD37;603517;1p22.3
seminoma;273300;germ cell cancer;teratoma;Germ cell neoplasia;FGFR3, ACH;134934;4p16.3
seminoma;273300;germ cell cancer;teratoma;Germ cell neoplasia;KIT, PBT;164920;4q12
seminoma;273300;germ cell cancer;teratoma;Germ cell neoplasia;STK11, PJS, LKB1;602216;19p13.3
sensorineural hearing loss;304400;inner ear disease;dilatated internal auditory canal;Abnormality of the internal auditory canal;POU3F4, DFN3, DFNX2;300039;Xq21.1
severe congenital neutropenia;202700;neutropenia;monocytosis;Abnormal monocyte count;ELANE, ELA2, SCN1;130130;19p13.3
severe congenital neutropenia;300299;neutropenia;congenital neutropenia;Neutropenia;WAS, IMD2, THC1, SCNX;300392;Xp11.23
severe congenital neutropenia;610738;neutropenia;infantile onset;Onset;HAX1, SCN3;605998;1q21.3
severe congenital neutropenia;612541;neutropenia;sepsis;Abnormality of immune system physiology;G6PC3, UGRP, SCN4;611045;17q21.31
severe congenital neutropenia;613107;neutropenia;monocytosis;Abnormal monocyte count;GFI1, ZNF163, SCN2;600871;1p22.1
severe congenital neutropenia;615285;neutropenia;hypergammaglobulinemia;Abnormal immunoglobulin level;VPS45A, VPS45, SCN5;610035;1q21.2
short QT syndrome;609620;autosomal dominant disease;shortened qt interval;Abnormal EKG;KCNH2, LQT2, HERG, SQT1;152427;7q36.1
short QT syndrome;609621;autosomal dominant disease;shortened qt interval;Abnormal EKG;KCNQ1, KCNA9, LQT1, KVLQT1, ATFB3, SQT2;607542;11p15.5-p15.4
short QT syndrome;609622;autosomal dominant disease;shortened qt interval;Abnormal EKG;KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9;600681;17q24.3
sialuria;269921;lysosomal storage disease;prominent forehead;Abnormality of the forehead;GNE, GLCNE, IBM2, DMRV, NM;603824;9p13.3
sialuria;604369;lysosomal storage disease;thickened calvaria;Abnormality of the calvaria;SLC17A5, SIASD, SLD;604322;6q13
sick sinus syndrome;163800;sinoatrial node disease;sick sinus syndrome;Heart block;HCN4, SSS2;605206;15q24.1
sick sinus syndrome;608567;sinoatrial node disease;sick sinus syndrome;Heart block;SCN5A, LQT3, VF1, HB1, SSS1, CMD1E, CDCD2;600163;3p22.2
sickle cell anemia;603903;autosomal recessive disease;priapism;Erectile abnormalities;HBB;141900;11p15.4
situs inversus;270100;visceral heterotaxy;abdominal situs inversus;Abnormality of abdominal situs;NODAL, HTX5;601265;10q22.1
skin melanoma;155600;skin cancer;cutaneous melanoma;Neoplasm of the skin;PTEN, MMAC1, GLM2, CWS1;601728;10q23.31
skin melanoma;609048;skin cancer;cutaneous melanoma;Neoplasm of the skin;CDK4, CMM3;123829;12q14.1
skin melanoma;614456;skin cancer;cutaneous melanoma;Neoplasm of the skin;MITF, WS2A, CMM8;156845;3p14-p13
soldiers heart;604715;;orthostatic tachycardia;Abnormal autonomic nervous system physiology;SLC6A2, NAT1, NET1;163970;16q12.2
spastic quadriplegia;603513;spastic cerebral palsy;cerebral palsy;Abnormality of movement;GAD1, SCP, CPSQ1;605363;2q31.1
spastic quadriplegia;612900;spastic cerebral palsy;cerebral palsy;Abnormality of movement;KANK1, KANK, ANKRD15, KIAA0172, CPSQ2;607704;9p24.3
specific language impairment;615432;language disorder;incomplete penetrance;Phenotypic variability;TM4SF20, SLI5;615404;2q36.3
spinocerebellar ataxia type 5;600224;spinocerebellar ataxia;impaired smooth pursuit;Abnormality of ocular smooth pursuit;SPTBN2, SCA5, SCAR14;604985;11q13.2
spinocerebellar ataxia;117210;spinocerebellar degeneration;gaze-evoked horizontal nystagmus;Horizontal nystagmus;BEAN, SCA31;612051;16q21
spinocerebellar ataxia;164400;spinocerebellar degeneration;cognitive impairment;Abnormality of higher mental function;ATXN1, ATX1, SCA1;601556;6p22.3
spinocerebellar ataxia;183086;spinocerebellar degeneration;impaired smooth pursuit;Abnormality of ocular smooth pursuit;CACNA1A, CACNL1A4, SCA6;601011;19p13.2
